kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
1883;0210-0225;;G;Belfast Coast Guard;E;WEu;ty;1;;
1883;0810-0825;;G;Belfast Coast Guard;E;WEu;ty;1;;
1883;1410-1425;;G;Belfast Coast Guard;E;WEu;ty;1;;
1883;2010-2025;;G;Belfast Coast Guard;E;WEu;ty;1;;
1883;2010-2020;;ISL;Iceland Coast Guard;IS;NAO;f;1;;
1888;0000-2400;;I;Romaradio IAR;I;SEu;cv;1;;[0218]
1894.7;0000-2400;;D;DHJ58 Marine STANAG;;Eu;gl;1;;[1116]
1911;0850-0900;;ALG;Annaba Radio;F,E;NAf;an;1;;
1911;1850-1900;;ALG;Annaba Radio;F,E;NAf;an;1;;
1911;0000-0015;;MRC;Agadir Radio;F;MRC;ag;1;;
1911;0935-0950;;MRC;Agadir Radio;F;MRC;ag;1;;
1911;1048-1103;;MRC;Agadir Radio;F;MRC;ag;1;;
1911;1615-1643;;MRC;Agadir Radio;F;MRC;ag;1;;
1925;0000-2400;;I;Romaradio IAR;I;SEu;li;1;;[0218]
1980;0000-2400;;NOR;IAP Andenes Radar 27us;;NEu;a;1;;
2054;0340-0610;;ALS;NOJ Fax Kodiak;;WNA;k;1;;
2054;0950-1210;;ALS;NOJ Fax Kodiak;;WNA;k;1;;
2054;1540-1810;;ALS;NOJ Fax Kodiak;;WNA;k;1;;
2054;2150-0030;;ALS;NOJ Fax Kodiak;;WNA;k;1;;
2054;0050-0110;;CAN;VAJ Prince Rupert Radio;E;WNA;ap;1;;
2054;0115-0200;;CAN;VAJ Prince Rupert Radio;E;WNA;hp;1;;
2054;0650-0710;;CAN;VAJ Prince Rupert Radio;E;WNA;ap;1;;
2054;0715-0800;;CAN;VAJ Prince Rupert Radio;E;WNA;hp;1;;
2054;1250-1310;;CAN;VAJ Prince Rupert Radio;E;WNA;ap;1;;
2054;1315-1400;;CAN;VAJ Prince Rupert Radio;E;WNA;hp;1;;
2054;1850-1910;;CAN;VAJ Prince Rupert Radio;E;WNA;ap;1;;
2054;1915-2000;;CAN;VAJ Prince Rupert Radio;E;WNA;hp;1;;
2056;1000-2300;;AUS;VMW Wiluna WA;E;AUS;w;1;;
2065;0310-0320;;ARG;L2T Mar del Plata Radio;S;ARG;mp;1;;
2065;1610-1620;;ARG;L2T Mar del Plata Radio;S;ARG;mp;1;;
2065;0440-0450;;ARG;L2W Comodoro Rivadavia;S;ARG;cr;1;;
2080;0133-0143;;TON;A3A Nukualofa Radio;E;SOc;;1;;
2080;0833-0843;;TON;A3A Nukualofa Radio;E;SOc;;1;;
2080;2033-2043;;TON;A3A Nukualofa Radio;E;SOc;;1;;
2116;0005-0015;;GRL;OYR Aasiaat Radio;E;GRL;ko;4;;
2116;0035-0045;;GRL;OYR Aasiaat Radio;E;GRL;ko;1;;
2116;0335-0345;;GRL;OYR Aasiaat Radio;E;GRL;ko;1;;
2116;0635-0645;;GRL;OYR Aasiaat Radio;E;GRL;ko;1;;
2116;0805-0815;;GRL;OYR Aasiaat Radio;E;GRL;ko;2;;
2116;0935-0945;;GRL;OYR Aasiaat Radio;E;GRL;ko;1;;
2116;1235-1245;;GRL;OYR Aasiaat Radio;E;GRL;ko;1;;
2116;1305-1315;;GRL;OYR Aasiaat Radio;E;GRL;ko;2;;
2116;1535-1545;;GRL;OYR Aasiaat Radio;E;GRL;ko;1;;
2116;1805-1815;;GRL;OYR Aasiaat Radio;E;GRL;ko;5;;
2116;1835-1845;;GRL;OYR Aasiaat Radio;E;GRL;ko;1;;
2116;1905-1915;;GRL;OYR Aasiaat Radio;E;GRL;ko;4;;
2116;2135-2145;;GRL;OYR Aasiaat Radio;E;GRL;ko;1;;
2116;2305-2315;;GRL;OYR Aasiaat Radio;E;GRL;ko;5;;
2129;0005-0015;;GRL;OYR Aasiaat Radio;E;GRL;sq;4;;
2129;0035-0045;;GRL;OYR Aasiaat Radio;E;GRL;sq;1;;
2129;0335-0345;;GRL;OYR Aasiaat Radio;E;GRL;sq;1;;
2129;0635-0645;;GRL;OYR Aasiaat Radio;E;GRL;sq;1;;
2129;0805-0815;;GRL;OYR Aasiaat Radio;E;GRL;sq;2;;
2129;0935-0945;;GRL;OYR Aasiaat Radio;E;GRL;sq;1;;
2129;1235-1245;;GRL;OYR Aasiaat Radio;E;GRL;sq;1;;
2129;1305-1315;;GRL;OYR Aasiaat Radio;E;GRL;sq;2;;
2129;1535-1545;;GRL;OYR Aasiaat Radio;E;GRL;sq;1;;
2129;1805-1815;;GRL;OYR Aasiaat Radio;E;GRL;sq;5;;
2129;1835-1845;;GRL;OYR Aasiaat Radio;E;GRL;sq;1;;
2129;1905-1915;;GRL;OYR Aasiaat Radio;E;GRL;sq;4;;
2129;2135-2145;;GRL;OYR Aasiaat Radio;E;GRL;sq;1;;
2129;2305-2315;;GRL;OYR Aasiaat Radio;E;GRL;sq;5;;
2201;0800-2100;;AUS;VMC Charleville QL;E;AUS;c;1;;
2207;0015-0025;;CKH;E5R Rarotonga Radio;E;CKH;;1;;
2207;0615-0625;;CKH;E5R Rarotonga Radio;E;CKH;;1;;
2207;1815-1825;;CKH;E5R Rarotonga Radio;E;CKH;;1;;
2207;0003-0035;;NZL;ZLM Taupo Maritime R.;E;Oc;t;5;;
2207;0133-0205;;NZL;ZLM Taupo Maritime R.;E;Oc;t;3;;
2207;0533-0605;;NZL;ZLM Taupo Maritime R.;E;Oc;t;3;;
2207;0803-0835;;NZL;ZLM Taupo Maritime R.;E;Oc;t;3;;
2207;1333-1405;;NZL;ZLM Taupo Maritime R.;E;Oc;t;3;;
2207;1733-1805;;NZL;ZLM Taupo Maritime R.;E;Oc;t;3;;
2207;2003-2035;;NZL;ZLM Taupo Maritime R.;E;Oc;t;3;;
2207;2303-2335;;NZL;ZLM Taupo Maritime R.;E;Oc;t;4;;
2225;0005-0015;;GRL;OYR Aasiaat Radio;E;GRL;pa;4;;
2225;0035-0045;;GRL;OYR Aasiaat Radio;E;GRL;pa;1;;
2225;0335-0345;;GRL;OYR Aasiaat Radio;E;GRL;pa;1;;
2225;0635-0645;;GRL;OYR Aasiaat Radio;E;GRL;pa;1;;
2225;0805-0815;;GRL;OYR Aasiaat Radio;E;GRL;pa;2;;
2225;0935-0945;;GRL;OYR Aasiaat Radio;E;GRL;pa;1;;
2225;1235-1245;;GRL;OYR Aasiaat Radio;E;GRL;pa;1;;
2225;1305-1315;;GRL;OYR Aasiaat Radio;E;GRL;pa;2;;
2225;1535-1545;;GRL;OYR Aasiaat Radio;E;GRL;pa;1;;
2225;1805-1815;;GRL;OYR Aasiaat Radio;E;GRL;pa;5;;
2225;1835-1845;;GRL;OYR Aasiaat Radio;E;GRL;pa;1;;
2225;1905-1915;;GRL;OYR Aasiaat Radio;E;GRL;pa;4;;
2225;2135-2145;;GRL;OYR Aasiaat Radio;E;GRL;pa;1;;
2225;2305-2315;;GRL;OYR Aasiaat Radio;E;GRL;pa;5;;
2226;0033-0036;irr;G;Aberdeen Coastguard Wx;E;WEu;ab;2;;
2226;0630-0645;;G;Aberdeen Coastguard Wx;E;WEu;ab;2;;
2226;1230-1245;irr;G;Aberdeen Coastguard Wx;E;WEu;ab;2;;
2226;1830-1845;;G;Aberdeen Coastguard Wx;E;WEu;ab;2;;[0116]
2226;2030-2045;;G;Aberdeen Coastguard Wx;E;WEu;ab;2;;
2226;0010-0025;irr;G;Falmouth Coastguard Wx;E;WEu;fm;2;;
2226;0610-0625;;G;Falmouth Coastguard Wx;E;WEu;fm;2;;
2226;1210-1225;irr;G;Falmouth Coastguard Wx;E;WEu;fm;2;;
2226;1810-1825;;G;Falmouth Coastguard Wx;E;WEu;fm;2;;
2226;0650-0705;;G;Humber Coastguard Wx;E;WEu;hu;2;;
2226;1250-1305;irr;G;Humber Coastguard Wx;E;WEu;hu;2;;
2226;1850-1905;;G;Humber Coastguard Wx;E;WEu;hu;2;;
2265;0005-0015;;GRL;OYR Aasiaat Radio;E;GRL;ik;4;;
2265;0035-0045;;GRL;OYR Aasiaat Radio;E;GRL;ik;1;;
2265;0335-0345;;GRL;OYR Aasiaat Radio;E;GRL;ik;1;;
2265;0635-0645;;GRL;OYR Aasiaat Radio;E;GRL;ik;1;;
2265;0805-0815;;GRL;OYR Aasiaat Radio;E;GRL;ik;2;;
2265;0935-0945;;GRL;OYR Aasiaat Radio;E;GRL;ik;1;;
2265;1235-1245;;GRL;OYR Aasiaat Radio;E;GRL;ik;1;;
2265;1305-1315;;GRL;OYR Aasiaat Radio;E;GRL;ik;2;;
2265;1535-1545;;GRL;OYR Aasiaat Radio;E;GRL;ik;1;;
2265;1805-1815;;GRL;OYR Aasiaat Radio;E;GRL;ik;5;;
2265;1835-1845;;GRL;OYR Aasiaat Radio;E;GRL;ik;1;;
2265;1905-1915;;GRL;OYR Aasiaat Radio;E;GRL;ik;4;;
2265;2135-2145;;GRL;OYR Aasiaat Radio;E;GRL;ik;1;;
2265;2305-2315;;GRL;OYR Aasiaat Radio;E;GRL;ik;5;;
2284;0003-0018;;KOR;HLC Incheon Radio;K,E;KOR;;1;;
2299;0902-0917;;KOR;HLE Jeju Radio;K,E;KOR;;1;;
2304;0005-0015;;GRL;OYR Aasiaat Radio;E;GRL;qe;4;;
2304;0035-0045;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
2304;0335-0345;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
2304;0635-0645;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
2304;0805-0815;;GRL;OYR Aasiaat Radio;E;GRL;qe;2;;
2304;0935-0945;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
2304;1235-1245;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
2304;1305-1315;;GRL;OYR Aasiaat Radio;E;GRL;qe;2;;
2304;1535-1545;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
2304;1805-1815;;GRL;OYR Aasiaat Radio;E;GRL;qe;5;;
2304;1835-1845;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
2304;1905-1915;;GRL;OYR Aasiaat Radio;E;GRL;qe;4;;
2304;2135-2145;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
2304;2305-2315;;GRL;OYR Aasiaat Radio;E;GRL;qe;5;;
2350;0000-2400;;I;IDR Ny Roma STANAG;;SEu;;1;;[1116]
2350;2030-1830;;KRE;KCBS Pyongyang;K;KRE;s;6;2503;0405
2350;2000-1800;;KRE;KCBS Pyongyang;K;KRE;s;1;0505;
2380;2000-1030;;B;Rádio Educadora,Limeira;P;B;li;1;;[0416]
2400;0005-0015;;GRL;OYR Aasiaat Radio;E;GRL;ma;4;;
2400;0035-0045;;GRL;OYR Aasiaat Radio;E;GRL;ma;1;;
2400;0335-0345;;GRL;OYR Aasiaat Radio;E;GRL;ma;1;;
2400;0635-0645;;GRL;OYR Aasiaat Radio;E;GRL;ma;1;;
2400;0805-0815;;GRL;OYR Aasiaat Radio;E;GRL;ma;2;;
2400;0935-0945;;GRL;OYR Aasiaat Radio;E;GRL;ma;1;;
2400;1235-1245;;GRL;OYR Aasiaat Radio;E;GRL;ma;1;;
2400;1305-1315;;GRL;OYR Aasiaat Radio;E;GRL;ma;2;;
2400;1535-1545;;GRL;OYR Aasiaat Radio;E;GRL;ma;1;;
2400;1805-1815;;GRL;OYR Aasiaat Radio;E;GRL;ma;5;;
2400;1835-1845;;GRL;OYR Aasiaat Radio;E;GRL;ma;1;;
2400;1905-1915;;GRL;OYR Aasiaat Radio;E;GRL;ma;4;;
2400;2135-2145;;GRL;OYR Aasiaat Radio;E;GRL;ma;1;;
2400;2305-2315;;GRL;OYR Aasiaat Radio;E;GRL;ma;5;;
2400;0203-0213;;RUS;Magadan Radio;R;FE;ma;1;;
2400;1233-1243;;RUS;Magadan Radio;R;FE;ma;1;;
2400;1303-1313;;RUS;Magadan Radio;R;FE;ma;1;;
2474;0000-2400;;HOL;PBB Navy Den Helder;-TY;Eu;cg;1;;[0417]
2500;0730-0100;;CHN;BPM Xian;-TS;CHN;p;1;;
2500;0000-2400;;HWA;WWVH Hawaii (f.ann.);-TS;USA;a;1;;
2500;0000-2400;;USA;WWV Colorado (m.ann.);-TS;USA;fa;1;;
2507;0403-0418;;KOR;HLN Gunsan Radio;K,E;KOR;;1;;
2514;0110-0130;;CAN;VFF Iqaluit Radio;E;ENA;ch;1;1007;3110
2514;1320-1400;;CAN;VFF Iqaluit Radio;E;ENA;ch;1;1007;3110
2514;1410-1430;;CAN;VFF Iqaluit Radio;E;ENA;k;1;0107;3112
2514;1705-1745;;CAN;VFF Iqaluit Radio;E;ENA;ch;1;1007;3110
2514;1705-1745;;CAN;VFF Iqaluit Radio;E;ENA;k;1;0107;3112
2514;2235-2315;;CAN;VFF Iqaluit Radio;E;ENA;k;1;0107;3112
2524;0345-0400;;AUS;VMT Hobart Radio Wx;E;Tas;;1;;
2524;0633-0648;;AUS;VMT Hobart Radio Wx;E;Tas;;1;;
2524;0903-0918;;AUS;VMT Hobart Radio Wx;E;Tas;;1;;
2524;2145-2200;;AUS;VMT Hobart Radio Wx;E;Tas;;1;;
2524;2303-2318;;AUS;VMT Hobart Radio Wx;E;Tas;;1;;
2545;1333-1343;;MRT;CROSS Martinique Wx;F;Car;fc;1;;
2545;2215-2225;;MRT;CROSS Martinique Wx;F;Car;fc;1;;
2560;0000-0010;;RUS;Okhotsk Radio;R;FE;;1;;
2560;0550-0600;;RUS;Okhotsk Radio;R;FE;;1;;
2560;1400-1410;;RUS;Okhotsk Radio;R;FE;;1;;
2560;2200-2210;;RUS;Okhotsk Radio;R;FE;;1;;
2579;0000-2400;;I;Romaradio IAR;I;SEu;ba;1;;[0916]
2582;0035-0045;;BER;ZBM Bermuda Harbor;E;BER;h;1;;[0316]
2582;0435-0445;;BER;ZBM Bermuda Harbor;E;BER;h;1;;[1216]
2582;0835-0845;;BER;ZBM Bermuda Harbor;E;BER;h;1;;
2582;1235-1245;;BER;ZBM Bermuda Harbor;E;BER;h;1;;
2582;1635-1645;;BER;ZBM Bermuda Harbor;E;BER;h;1;;
2582;2035-2045;;BER;ZBM Bermuda Harbor;E;BER;h;1;;
2582;1240-1300;;CAN;VFF Iqaluit Radio;E;ENA;r;1;1007;3110
2582;1410-1430;;CAN;VFF Iqaluit Radio;E;ENA;i;1;1005;3112
2582;1705-1745;;CAN;VFF Iqaluit Radio;E;ENA;i;1;1005;3112
2582;1705-1745;;CAN;VFF Iqaluit Radio;E;ENA;r;1;1007;3110
2582;2235-2315;;CAN;VFF Iqaluit Radio;E;ENA;i;1;1005;3112
2582;2310-2350;;CAN;VFF Iqaluit Radio;E;ENA;r;1;1007;3110
2586;0848-0858;;CTI;Abidjan Radio;F;CTI;a;1;;
2586;1248-1258;;CTI;Abidjan Radio;F;CTI;a;1;;
2586;1948-1958;;CTI;Abidjan Radio;F;CTI;a;1;;
2586;0133-0143;;DNK;Lyngby Radio;E;NEu;ro;1;;
2586;0533-0543;;DNK;Lyngby Radio;E;NEu;ro;1;;
2586;0933-0943;;DNK;Lyngby Radio;E;NEu;ro;1;;
2586;1305-1315;;DNK;Lyngby Radio;E;NEu;ro;1;;
2586;1333-1343;;DNK;Lyngby Radio;E;NEu;ro;1;;
2586;1733-1743;;DNK;Lyngby Radio;E;NEu;ro;1;;
2586;1743-1803;;DNK;Lyngby Radio;E;NEu;ro;1;;[0616]
2586;2133-2143;;DNK;Lyngby Radio;E;NEu;ro;1;;[0515]
2586;0918-0928;;MRC;Casablanca Radio;F;MRC;ca;1;;
2586;0945-0955;;MRC;Casablanca Radio;F;MRC;ca;1;;
2586;1645-1655;;MRC;Casablanca Radio;F;MRC;ca;1;;
2586;2028-2038;;MRC;Casablanca Radio;F;MRC;ca;1;;
2598;0437-0500;;CAN;VCF Les Escoumins QC;E,F;ENA;na;1;;[0617]
2598;0847-0910;;CAN;VCF Les Escoumins QC;E,F;ENA;na;1;;
2598;0937-1000;;CAN;VCF Les Escoumins QC;E,F;ENA;na;1;;[0316]
2598;1407-1430;;CAN;VCF Les Escoumins QC;E,F;ENA;na;1;;
2598;1737-1800;;CAN;VCF Les Escoumins QC;E,F;ENA;na;1;;
2598;2317-2330;;CAN;VCF Les Escoumins QC;E,F;ENA;na;1;;
2598;0007-0030;;CAN;VCP Placentia NL;E;ENA;sj;1;;[1216]
2598;0048-0107;;CAN;VCP Placentia NL;E,F;ENA;sl;1;;[1116]
2598;0737-0805;;CAN;VCP Placentia NL;E;ENA;sl;1;;[1016]
2598;0837-0900;;CAN;VCP Placentia NL;E;ENA;sj;1;;[1016]
2598;1137-1200;;CAN;VCP Placentia NL;E;ENA;sl;1;;
2598;1307-1330;;CAN;VCP Placentia NL;E;ENA;sj;1;;
2598;1607-1630;;CAN;VCP Placentia NL;E;ENA;sl;1;;
2598;1637-1700;;CAN;VCP Placentia NL;E;ENA;sj;1;;
2598;1807-1830;;CAN;VCP Placentia NL;E;ENA;sl;1;;
2598;2007-2030;;CAN;VCP Placentia NL;E;ENA;sj;1;;
2598;2137-2200;;CAN;VCP Placentia NL;E;ENA;sl;1;;
2598;2207-2230;;CAN;VCP Placentia NL;E;ENA;sj;1;;
2598;0207-0233;;CAN;VOJ Port aux Basques NL;E,F;ENA;sv;1;;[1116]
2598;0807-0833;;CAN;VOJ Port aux Basques NL;E,F;ENA;sv;1;;[1016]
2598;1207-1233;;CAN;VOJ Port aux Basques NL;E,F;ENA;sv;1;;
2598;1507-1533;;CAN;VOJ Port aux Basques NL;E,F;ENA;sv;1;;
2598;1837-1903;;CAN;VOJ Port aux Basques NL;E,F;ENA;sv;1;;
2598;2107-2133;;CAN;VOJ Port aux Basques NL;E,F;ENA;sv;1;;
2598;0107-0130;;CAN;VOK Goose Bay NL;E;ENA;sa;1;;[0418]
2598;0137-0200;;CAN;VOK Goose Bay NL;E;ENA;cw;1;;[0317]
2598;0137-0200;;CAN;VOK Goose Bay NL;E;ENA;hd;1;;[0317]
2598;0907-0930;;CAN;VOK Goose Bay NL;E;ENA;sa;1;;
2598;1007-1030;;CAN;VOK Goose Bay NL;E;ENA;cw;1;;[0216]
2598;1007-1030;;CAN;VOK Goose Bay NL;E;ENA;hd;1;;[0216]
2598;1107-1130;;CAN;VOK Goose Bay NL;E;ENA;cw;1;;
2598;1107-1130;;CAN;VOK Goose Bay NL;E;ENA;hd;1;;
2598;1237-1300;;CAN;VOK Goose Bay NL;E;ENA;sa;1;;
2598;1337-1400;;CAN;VOK Goose Bay NL;E;ENA;sa;1;;
2598;1437-1500;;CAN;VOK Goose Bay NL;E;ENA;cw;1;;
2598;1437-1500;;CAN;VOK Goose Bay NL;E;ENA;hd;1;;
2598;1907-1930;;CAN;VOK Goose Bay NL;E;ENA;sa;1;;
2598;1937-2000;;CAN;VOK Goose Bay NL;E;ENA;sa;1;;
2598;2037-2100;;CAN;VOK Goose Bay NL;E;ENA;cw;1;;
2598;2037-2100;;CAN;VOK Goose Bay NL;E;ENA;hd;1;;
2598;2307-2330;;CAN;VOK Goose Bay NL;E;ENA;cw;1;;
2598;2307-2330;;CAN;VOK Goose Bay NL;E;ENA;hd;1;;
2600;0105-0115;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;0305-0315;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;0505-0515;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;0705-0715;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;0905-0915;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;1105-1115;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;1305-1315;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;1505-1515;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;1705-1715;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;1905-1915;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;2105-2115;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;2305-2315;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;0000-2400;;I;Romaradio IAR;I;SEu;mz;1;;[0218]
2600;0430-0445;;REU;CROSSRU La Réunion;F;WIO;su;1;;
2600;1000-1015;;REU;CROSSRU La Réunion;F;WIO;su;1;;
2600;1030-1045;;REU;CROSSRU La Réunion;F;WIO;su;1;;
2600;1230-1245;;REU;CROSSRU La Réunion;F;WIO;su;1;;
2600;1630-1645;;REU;CROSSRU La Réunion;F;WIO;su;1;;
2605;0600-1800;;CHN;Haikou Radio (x20);M;FE;hk;1;;
2605;1800-0600;;CHN;Haikou Radio (x20);M;FE;hk;1;;
2605;0125-0135;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;0325-0335;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;0525-0535;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;0725-0735;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;0925-0935;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;1125-1135;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;1325-1335;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;1525-1535;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;1725-1735;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;1925-1935;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;2125-2135;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;2325-2335;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;0025-0035;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;0225-0235;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;0425-0435;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;0625-0635;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;0825-0835;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;1025-1035;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;1225-1235;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;1425-1435;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;1625-1635;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;1825-1835;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;2025-2035;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;2225-2235;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2608.4;0000-2400;;F;FUO Toulon STANAG;F;Eu;;1;;[0417]
2618.5;2000-0600;;G;GYA Northwood Meteo Fax;;WEu;nw;1;;
2624;0633-0643;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;0703-0713;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;0903-0913;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;1133-1143;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;1533-1543;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;1733-1743;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;2133-2143;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;2333-2343;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;0000-2400;;I;Romaradio IAR;I;SEu;t;1;;[0218]
2625;0603-0618;;MLT;Malta Radio;E;SEu;mr;1;;
2625;1003-1018;;MLT;Malta Radio;E;SEu;mr;1;;
2625;1603-1618;;MLT;Malta Radio;E;SEu;mr;1;;
2625;2103-2118;;MLT;Malta Radio;E;SEu;mr;1;;
2628;0900-0945;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
2628;1015-1100;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
2628;1100-1715;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
2628;1800-1845;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
2628;0000-2400;;I;Romaradio IAR;I;SEu;au;1;;[0218]
2630;2010-2015;;RUS;UCE2 Arkhangelsk Radio;E,R;NEu;;1;;[0916]
2632;0000-2400;;I;Romaradio IAR;I;SEu;na;1;;[0218]
2642;0000-2400;;I;Romaradio IAR;I;SEu;ge;1;;[0218]
2656;0000-2400;;I;Romaradio IAR;I;SEu;an;1;;[0218]
2657;0935-0945;;AZR;Radionaval Horta;P,E;AZR;ho;1;;
2657;2135-2145;;AZR;Radionaval Horta;P,E;AZR;ho;1;;
2657;0735-0745;;MDR;Radionaval Porto Santo;P,E;MDR;ps;1;;
2657;1935-1945;;MDR;Radionaval Porto Santo;P,E;MDR;ps;1;;
2657;0905-0915;;POR;Radionaval N.Ribeiro;P,E;POR;ms;1;;
2657;2105-2115;;POR;Radionaval N.Ribeiro;P,E;POR;ms;1;;
2663;0000-2400;;I;Romaradio IAR;I;SEu;kr;1;;[0916]
2670;0805-0815;;TUN;3VT Tunis Radio;F;NAf;tu;1;;
2670;1705-1715;;TUN;3VT Tunis Radio;F;NAf;tu;1;;
2671;0000-2400;;J;JJU22 Jap.Self Defense;-CW;FE;as;1;;[1216]
2677;0535-0545;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;
2677;0615-0630;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;
2677;1735-1745;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;
2677;1815-1830;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;[0916]
2677;1900-1915;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;[0116]
2677;0633-0643;;F;CROSS Gris-Nez Radio Wx;F;WEu;gn;2;;
2677;1833-1843;;F;CROSS Gris-Nez Radio Wx;F;WEu;gn;2;;
2677;0003-0013;;F;CROSS La Garde Radio Wx;F,E;WEu;g;4;;
2677;0303-0313;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;
2677;0633-0643;;F;CROSS La Garde Radio Wx;F,E;WEu;g;5;;
2677;0703-0713;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;
2677;0733-0743;;F;CROSS La Garde Radio Wx;F,E;WEu;g;4;;
2677;1000-1003;;F;CROSS La Garde Radio Wx;F,E;WEu;g;1;;
2677;1103-1113;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;
2677;1403-1413;;F;CROSS La Garde Radio Wx;F,E;WEu;g;5;;
2677;1503-1513;;F;CROSS La Garde Radio Wx;F,E;WEu;g;1;;
2677;1600-1603;;F;CROSS La Garde Radio Wx;F,E;WEu;g;1;;
2677;1603-1613;;F;CROSS La Garde Radio Wx;F,E;WEu;g;4;;
2677;1903-1913;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;[1215]
2677;2200-2203;;F;CROSS La Garde Radio Wx;F,E;WEu;g;1;;
2677;2303-2313;;F;CROSS La Garde Radio Wx;F,E;WEu;g;5;;
2680;0000-2400;;I;Romaradio IAR;I;SEu;cg;1;;[0218]
2680;0000-2400;;ISR;4XZ Israeli Navy Haifa;-CW;;;1;;[1016]
2685;0000-2400;;J;JJT44 Jap.Self Defense;-CW;FE;ir;1;;[1216]
2690;1100-1110;;INS;Jakarta Radio;E;INS;;1;;
2700;0733-0743;;CYP;Cyprus Radio;E;ME;cr;1;;
2705;0610-0620;;COG;Pointe Noire Radio;F;COG;pn;1;;
2705;0810-0820;;COG;Pointe Noire Radio;F;COG;pn;1;;
2705;1010-1020;;COG;Pointe Noire Radio;F;COG;pn;1;;
2705;1410-1420;;COG;Pointe Noire Radio;F;COG;pn;1;;
2705;1610-1620;;COG;Pointe Noire Radio;F;COG;pn;1;;
2719;0835-0845;;ALG;7TO Oran Radio;F,E;NAf;or;1;;
2719;1835-1845;;ALG;7TO Oran Radio;F,E;NAf;or;1;;
2719;0000-2400;;I;Romaradio IAR;I;SEu;pt;1;;[0218]
2720;0033-0043;;POL;Witowo Radio;E;CEu;w;4;;
2720;0333-0343;;POL;Witowo Radio;E;CEu;w;2;;
